Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::as_strided,"1,544,4,128;
;
;
",,4.8,4.8,0,0,0,0
aten::unsqueeze,"1,544,128;
",,4.9,6.76,0,0,0,0
aten::as_strided,"1,544,128;
;
;
",,1.86,1.86,0,0,0,0
aten::unsqueeze,"1,544,128;
",,1.77,6.45,0,0,0,0
aten::as_strided,"1,544,128;
;
;
",,4.68,4.68,0,0,0,0
aten::mul,"1,32,544,128;
1,1,544,128",,18.67,35.24,0,45.68,0,0
empty_tensor,,,3.19,3.19,0,0,0,0
aclnnMul,,,13.38,13.38,45.68,45.68,0,0
aten::chunk,"1,32,544,128;
;
",,12.73,55.62,0,0,0,0
aten::split,"1,32,544,128;
;
",,16.71,42.89,0,0,0,0
