Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::to,"1,6,5120;
;
;
;
",,3.89,30.55,0,5.48,0,0
aten::_to_copy,"1,6,5120;
;
;
;
;
;
",,3.39,26.66,0,5.48,0,0
aten::empty_strided,";
;
;
;
;
",,4.43,6.34,0,0,0,0
empty_tensor,,,1.91,1.91,0,0,0,0
aten::copy_,"1,6,5120;
1,6,5120;
",,10.8,16.93,0,5.48,0,0
aclnnInplaceCopy,,,6.13,6.13,5.48,5.48,0,0
aten::square,"1,6,5120",,3.56,50.78,0,13.70025,0,0
aten::pow,"1,6,5120;
",,3.25,47.22,0,13.70025,0,0
aten::pow,"1,6,5120;
",,16.75,43.97,0,13.70025,0,0
aten::result_type,"1,6,5120;
",,18.45,18.45,0,0,0,0
empty_tensor,,,4.02,4.02,0,0,0,0
aclnnPowTensorScalar,,,4.75,4.75,13.70025,13.70025,0,0
aten::mean,"1,6,5120;
;
;
",,18.54,25.49,0,7.58025,0,0
empty_tensor,,,3.25,3.25,0,0,0,0
aclnnMean,,,3.7,3.7,7.58025,7.58025,0,0
aten::add,"1,6,1;
;
",,14.77,24.58,0,1.54,0,0
empty_tensor,,,3.0,3.0,0,0,0,0
aten::item,,,1.58,2.88,0,0,0,0
aten::_local_scalar_dense,,,1.3,1.3,0,0,0,0
aclnnAdds,,,3.93,3.93,1.54,1.54,0,0
aten::rsqrt,"1,6,1",,1.62,17.3,0,1.34,0,0
aten::rsqrt,"1,6,1",,9.52,15.68,0,1.34,0,0
empty_tensor,,,3.06,3.06,0,0,0,0
aclnnRsqrt,,,3.1,3.1,1.34,1.34,0,0
aten::mul,"1,6,5120;
1,6,1",,10.19,16.45,0,10.82,0,0
empty_tensor,,,3.07,3.07,0,0,0,0
aclnnMul,,,3.19,3.19,10.82,10.82,0,0
aten::to,"1,6,5120;
;
;
;
",,3.74,29.38,0,4.6,0,0
aten::_to_copy,"1,6,5120;
;
;
;
;
;
",,5.28,25.64,0,4.6,0,0
aten::empty_strided,";
;
;
;
;
",,4.87,6.57,0,0,0,0
empty_tensor,,,1.7,1.7,0,0,0,0
aten::copy_,"1,6,5120;
1,6,5120;
",,9.82,13.79,0,4.6,0,0
aclnnInplaceCopy,,,3.97,3.97,4.6,4.6,0,0
aten::mul,"5120;
1,6,5120",,10.68,18.36,0,7.74025,0,0
empty_tensor,,,3.17,3.17,0,0,0,0
aclnnMul,,,4.51,4.51,7.74025,7.74025,0,0
aten::linear,"1,6,5120;
4096,5120;
",,3.27,54.01,0,39.10075,0,39.10075
aten::linear,"1,6,5120;
4096,5120;
",,4.84,50.74,0,39.10075,0,39.10075
aten::t,"4096,5120",,5.49,14.49,0,0,0,0
aten::transpose,"4096,5120;
;
",,3.89,9.0,0,0,0,0
aten::as_strided,"4096,5120;
;
;
",,5.11,5.11,0,0,0,0
aten::matmul,"1,6,5120;
5120,4096",,20.14,31.41,0,39.10075,0,39.10075
empty_tensor,,,5.33,5.33,0,0,0,0
aclnnMatmul,,,5.94,5.94,39.10075,39.10075,39.10075,39.10075
aten::view,"1,6,4096;
",,5.88,5.88,0,0,0,0
aten::linear,"1,6,5120;
512,5120;
",,2.41,44.07,0,9.54025,0,9.54025
aten::linear,"1,6,5120;
512,5120;
",,3.24,41.66,0,9.54025,0,9.54025
aten::t,"512,5120",,2.78,11.6,0,0,0,0
aten::transpose,"512,5120;
;
",,2.83,8.82,0,0,0,0
aten::as_strided,"512,5120;
;
;
",,5.99,5.99,0,0,0,0
aten::matmul,"1,6,5120;
5120,512",,16.31,26.82,0,9.54025,0,9.54025
empty_tensor,,,5.37,5.37,0,0,0,0
aclnnMatmul,,,5.14,5.14,9.54025,9.54025,9.54025,9.54025
aten::view,"1,6,512;
",,4.7,4.7,0,0,0,0
aten::linear,"1,6,5120;
512,5120;
",,2.57,42.64,0,8.52,0,8.52
aten::linear,"1,6,5120;
512,5120;
",,2.89,40.07,0,8.52,0,8.52
aten::t,"512,5120",,2.26,7.77,0,0,0,0
aten::transpose,"512,5120;
;
",,2.08,5.51,0,0,0,0
aten::as_strided,"512,5120;
;
;
",,3.43,3.43,0,0,0,0
aten::matmul,"1,6,5120;
5120,512",,18.44,29.41,0,8.52,0,8.52
empty_tensor,,,4.93,4.93,0,0,0,0
aclnnMatmul,,,6.04,6.04,8.52,8.52,8.52,8.52
aten::view,"1,6,512;
",,4.9,4.9,0,0,0,0
aten::to,"1,6,32,128;
;
;
;
",,3.62,42.02,0,2.94,0,0
aten::_to_copy,"1,6,32,128;
;
;
;
;
;
",,5.74,38.4,0,2.94,0,0
aten::empty_strided,";
;
;
;
;
",,8.63,11.77,0,0,0,0
empty_tensor,,,3.14,3.14,0,0,0,0
aten::copy_,"1,6,32,128;
1,6,32,128;
",,15.35,20.89,0,2.94,0,0
aclnnInplaceCopy,,,5.54,5.54,2.94,2.94,0,0
aten::square,"1,6,32,128",,2.38,37.56,0,7.34025,0,0
aten::pow,"1,6,32,128;
",,3.15,35.18,0,7.34025,0,0
aten::pow,"1,6,32,128;
",,19.24,32.03,0,7.34025,0,0
aten::result_type,"1,6,32,128;
",,2.65,2.65,0,0,0,0
empty_tensor,,,5.42,5.42,0,0,0,0
aclnnPowTensorScalar,,,4.72,4.72,7.34025,7.34025,0,0
aten::mean,"1,6,32,128;
;
;
",,20.85,30.3,0,9.48025,0,0
empty_tensor,,,5.14,5.14,0,0,0,0
aclnnMean,,,4.31,4.31,9.48025,9.48025,0,0
aten::add,"1,6,32,1;
;
",,17.92,30.02,0,1.30025,0,0
empty_tensor,,,4.16,4.16,0,0,0,0
aten::item,,,1.84,3.17,0,0,0,0
aten::_local_scalar_dense,,,1.33,1.33,0,0,0,0
aclnnAdds,,,4.77,4.77,1.30025,1.30025,0,0
aten::rsqrt,"1,6,32,1",,1.7,21.28,0,1.14,0,0
aten::rsqrt,"1,6,32,1",,10.97,19.58,0,1.14,0,0
empty_tensor,,,4.2,4.2,0,0,0,0
aclnnRsqrt,,,4.41,4.41,1.14,1.14,0,0
aten::mul,"1,6,32,128;
1,6,32,1",,15.94,24.14,0,12.94025,0,0
empty_tensor,,,4.32,4.32,0,0,0,0
aclnnMul,,,3.88,3.88,12.94025,12.94025,0,0
aten::to,"1,6,32,128;
;
;
;
",,4.17,40.19,0,3.66,0,0
aten::_to_copy,"1,6,32,128;
;
;
;
;
;
",,7.03,36.02,0,3.66,0,0
aten::empty_strided,";
;
;
;
;
",,7.48,10.09,0,0,0,0
empty_tensor,,,2.61,2.61,0,0,0,0
aten::copy_,"1,6,32,128;
1,6,32,128;
",,13.98,18.9,0,3.66,0,0
aclnnInplaceCopy,,,4.92,4.92,3.66,3.66,0,0
aten::mul,"128;
1,6,32,128",,14.15,24.52,0,10.34025,0,0
empty_tensor,,,5.22,5.22,0,0,0,0
aclnnMul,,,5.15,5.15,10.34025,10.34025,0,0
aten::transpose,"1,6,32,128;
;
",,4.05,9.25,0,0,0,0
aten::as_strided,"1,6,32,128;
;
;
",,5.2,5.2,0,0,0,0
aten::to,"1,6,4,128;
;
;
;
",,2.8,36.48,0,1.50025,0,0
aten::_to_copy,"1,6,4,128;
;
;
;
;
;
",,5.73,33.68,0,1.50025,0,0
aten::empty_strided,";
;
;
;
;
",,7.32,9.97,0,0,0,0
empty_tensor,,,2.65,2.65,0,0,0,0
aten::copy_,"1,6,4,128;
1,6,4,128;
",,13.02,17.98,0,1.50025,0,0
aclnnInplaceCopy,,,4.96,4.96,1.50025,1.50025,0,0
aten::square,"1,6,4,128",,1.95,40.76,0,2.0,0,0
aten::pow,"1,6,4,128;
",,8.76,38.81,0,2.0,0,0
aten::pow,"1,6,4,128;
",,17.95,30.05,0,2.0,0,0
aten::result_type,"1,6,4,128;
",,1.42,1.42,0,0,0,0
empty_tensor,,,5.86,5.86,0,0,0,0
aclnnPowTensorScalar,,,4.82,4.82,2.0,2.0,0,0
aten::mean,"1,6,4,128;
;
;
",,18.01,25.98,0,6.00025,0,0
empty_tensor,,,3.9,3.9,0,0,0,0
aclnnMean,,,4.07,4.07,6.00025,6.00025,0,0
aten::add,"1,6,4,1;
;
",,16.38,30.1,0,1.34,0,0
empty_tensor,,,4.52,4.52,0,0,0,0
aten::item,,,1.75,3.98,0,0,0,0
aten::_local_scalar_dense,,,2.23,2.23,0,0,0,0
aclnnAdds,,,5.22,5.22,1.34,1.34,0,0
aten::rsqrt,"1,6,4,1",,1.65,23.27,0,1.20025,0,0
aten::rsqrt,"1,6,4,1",,11.27,21.62,0,1.20025,0,0
empty_tensor,,,5.1,5.1,0,0,0,0
aclnnRsqrt,,,5.25,5.25,1.20025,1.20025,0,0
aten::mul,"1,6,4,128;
1,6,4,1",,14.65,24.36,0,7.86025,0,0
empty_tensor,,,5.23,5.23,0,0,0,0
aclnnMul,,,4.48,4.48,7.86025,7.86025,0,0
aten::to,"1,6,4,128;
;
;
;
",,3.62,38.68,0,1.2,0,0
aten::_to_copy,"1,6,4,128;
;
;
;
;
;
",,6.17,35.06,0,1.2,0,0
aten::empty_strided,";
;
;
;
;
",,7.08,9.79,0,0,0,0
empty_tensor,,,2.71,2.71,0,0,0,0
aten::copy_,"1,6,4,128;
1,6,4,128;
",,13.85,19.1,0,1.2,0,0
aclnnInplaceCopy,,,5.25,5.25,1.2,1.2,0,0
aten::mul,"128;
1,6,4,128",,15.03,24.52,0,6.50025,0,0
empty_tensor,,,4.51,4.51,0,0,0,0
aclnnMul,,,4.98,4.98,6.50025,6.50025,0,0
aten::transpose,"1,6,4,128;
;
",,4.11,8.98,0,0,0,0
aten::as_strided,"1,6,4,128;
;
;
",,4.87,4.87,0,0,0,0
aten::transpose,"1,6,4,128;
;
",,3.11,7.36,0,0,0,0
aten::as_strided,"1,6,4,128;
;
;
",,4.25,4.25,0,0,0,0
aten::unsqueeze,"1,6,128;
",,2.78,5.24,0,0,0,0
aten::as_strided,"1,6,128;
;
;
",,2.46,2.46,0,0,0,0
aten::unsqueeze,"1,6,128;
",,2.18,4.89,0,0,0,0
aten::as_strided,"1,6,128;
;
;
",,2.71,2.71,0,0,0,0
aten::mul,"1,32,6,128;
1,1,6,128",,17.8,27.74,0,19.740250000000003,0,0
empty_tensor,,,5.17,5.17,0,0,0,0
aclnnMul,,,4.77,4.77,19.740250000000003,19.740250000000003,0,0
